CallNumber,Author,Title,ISBN,PubName,PubYear
E 842 Wic, T. Wicker,J.F.K. and L.B.J. : the Influence of Persolity upon Politics ,,William Morrow,1968
E 842.1 BRY, Nick author. (Nicholas Andrew) Bryant,The bystander : John F. Kennedy and the struggle for Black equality ,0465008267; 9780465008261; 0465008275; 9780465008278,Perseus Running distributor; Basic Books,2006
E 842.1 Ber, Joseph P. Berry,John F. Kennedy and the media : the first television president ,9780819165534; 0819165530,UP of America,1987
E 842.1 Bur, David. Burner,The torch is passed : the Kennedy brothers and American liberalism ,9780689114380; 0689114389,Atheneum,1984
E 842.1 Fuc, Lawrence H. Fuchs,John F. Kennedy and American catholicism ,,Meredith P,1967
E 842.1 Hel, John Hellmann,The Kennedy obsession : the American myth of JFK ,9780231107983; 0231107986,Columbia UP,1997
E 842.1 LUB, David M. Lubin,Shooting Kennedy : JFK and the culture of images ,9780520229853; 0520229851,University of California Press,2003
E 842.9 Eps, E. J. Epstein,Inquest : the Warren Commission and the establishment of truth ,,Viking P,1966
E 842.9 Eps, E. J. Epstein,Legend : the secret world of Lee Harvey Oswald ,9780091339203; 0091339200,Hutchinson,1978
E 842.9 Gre, B. S. Greenberg,The Kennedy assassition and the American public : social communication in crisis ,,Stanford UP,1965
E 842.9 Joe, J. Joesten,Oswald : assassin or fall guy? ,,Marzani,1964
E 842.9 KAI, David E. Kaiser,The road to Dallas : the assassition of John F. Kennedy ,0674027663; 9780674027664,Belkp Press of Harvard University Press,2008
E 842.9 Kap, J. Kaplan,The trial of Jack Ruby ,,Macmillan,1965
E 842.9 Kur, M. L. Kurtz,Crime of the Century : the Kennedy Assassition from a Historian's Perspective ,9780710804716; 0710804717,Harvester P,1982
E 842.9 Lan, Mark Lane,Rush to judgment : a critique of the Warren Commission's inquiry into the murders of President John F. Kennedy; Officer J.D. Tippit and Lee Harvey Oswald ,,Bodley Head,1966
E 842.9 Mai, Norman Mailer,Oswald's tale : an American mystery ,9780316876209; 0316876208,Little Brown,1995
E 842.9 Man, William Raymond Manchester,The death of a president; November 20-November 25 1963 ,,Joseph,1967
E 842.9 Sco, Peter Dale. Scott,Deep politics and the death of JFK ,9780520084100; 0520084101,U of California P,1993
E 842.9 Sta, J. Stafford,A mother in history ,,Farrar Straus & Giroux,1966
E 842.9 Uni,undefined United Press Intertiol.,Four days : the historical record of the death of President Kennedy.,,American Heritage,1964
E 842.9 Wei, H. Weisberg,Photographic whitewash : suppressed Kennedy assassition pictures ,,The Author,1967
E 842.9 Wei, H. Weisberg,Whitewash 2 : the FBI-secret service cover-up ,,The Author,1966
E 842.9 Wei, Harold. Weisberg,Whitewash : the report on the Warren Report ,,The Author,1966
E 842.9 Whi, S. White,Should we now believe the Warren Report? ,,Macmillan,1968
