CallNumber,Author,Title,ISBN,PubName,PubYear,CB
E183.8.I7 S16,Michael P Saba ; edited  Evan Hendricks,The Armageddon network ,0915597071,Vermont : Amana Books,1984,no
E183.8.I55 K43,Moorhead Kennedy ; with an afterword  Louisa Kennedy,The Ayatollah in the cathedral ,0809027658;9780809027651;0809015331;9780809015337,New York : Hill and Wang,1986,no
JQ1825.S873 R643,David Roberts,The Baʼth and the creation of modern Syria ,0709942273;9780709942276,London : Croom Helm,1987,no
JC599.K9 B43,Human Rights Watch,The bedoons of Kuwait : citizens without citizenship ,1564321568,New York : Human Rights Watch,1995,no
E183.8.I55 A85,Roy Assersohn,The biggest deal ,413506401,London : Methuen,1982,no
E183,[By] Margaret Arakie,The broken sword of justice : America Israel and the Palestine tragedy ,0704320223;0704330172;9780704320222;9780704330177,London : Quartet,8.I7,no
JX1784 .P65,DCM Platt,The Cinderella service  British consuls since 1825 ,582127408,[London] : Longman,1971,no
E855 .B76,Seyom Brown,The crises of power : an interpretation of United States foreign policy during the Kissinger Years ,0231042647;9780231042642,New York : Columbia University Press,1979,no
E183.8.I55 R66,Barbara and Barry Rosen with George Feifer,The destined hour : the hostage crisis and one family's ordeal ,0385178956 : $17.95;9780385178952,Garden City,1982,no
JZ1163 .F74,Chas W Freeman, Jr,The diplomat's dictionary ,1878379666;9781878379665,Washington,no
E840 .D95,Chas W Freeman, Jr,The dying dollar empire and the US imperialist conspiracies : real reasons behind: the energy crisis the arab oil boycott shah's proposal for the creation of a fund to assist undeveloped countries,,Sacramento,no
E183.8.I55 B5,James A Bill,The eagle and the lion : the tragedy of American-Iranian relations ,300040970,New Haven : Yale University Press,1988,no
JQ3831 .P35,Monte Palmer, Ali Leila, El Sayed Yassin,The Egyptian bureaucracy ,0815624557;ZBWT00188255;beiruta06159,no
JA84.E3 W45,Charles Wendell,The evolution of the Egyptian national image : from its origins to Ahmad Lutfi al-Sayyid ,520021118,Berkeley : University of California Press,1972,no
E183.8.E35 C6,Charles Wendell,The game of nations  the amorality of power politics,0671205323;9780671205324,New York : Simon and Schuster,1970,no
JX4521 .G8,edited  Peter Rowe,The Gulf War 1990-1991 in international and English law ,0415075203;9780415075206,London ; New York,1993,no
E183.8.I55 K95,James H Kyle with John Robert Eidson,The guts to try : the untold story of the Iran hostage rescue mission by the on-scene desert commander ,0517577143;9780517577141,New York : Orion Books,1990,no
E876 .S43,Samuel Segev ; translated  Haim Watzman,The Iranian triangle : the untold story of Israel's role in the Iran-Contra affair ,0029283418 : $22.50;9780029283417;0020283418,New York : The Free Press,1988,no
JQ1825.I7 I7,edited  Robert A Fernea and Wm Roger Louis,The Iraqi revolution of 1958 : the old social classes revisited ,1850433186;9781850433187,London ; New York : IB Tauris,1991,no
JQ1830,Frank A Clements, compiler,The Israeli Secret Services ,1851092250;9781851092253,Oxford,no
JX1581.M628 Z5,edited  James Piscatori and George S Harris,Law personalities and politics of the Middle East : essays in honor of Majid Khadduri ,0916808327;9780916808327,Boulder,1987,no
