child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear
e179md,e100,E179MD,E100,Manifest destiny : American expansionism and the empire of right ,Anders Stephanson,9780809015849; 0809015846,Hill and Wang,1995
e185ttt,e100,E185TTT,E100,To tell the truth freely : the life of Ida B. Wells ,Mia Bay,0809095297; 9780809095292; 080901646X; 9780809016464,Hill and Wang,2009
e208tar,e200,E208TAR,E200,The American revolution ,Edward Countryman,9780809025626; 0809025620,Hill and Wang,2003
e215tsa,e200,E215TSA,E200,The shoemaker and the tea party : memory and the American Revolution ,Alfred F Young,0807054054; 9780807054055; 9780807071403; 0807071404,Beacon Press,1999
e178ata,e100,E178ATA,E100,A tion among tions : America's place in world history ,Thomas Bender,9780809095278; 0809095270; 9780809072354; 0809072351,Hill and Wang,2006
e185aia,e100,E185AIA,E100,Ain't I a woman : Black women and feminism ,Marty Jezer,9780896081307; 0896081303; 9780896081284; 0896081281,South End Press,1981
e185tpc,e100,E185TPC,E100,The Pan-African connection : from slavery to Garvey and beyond ,Tony Martin,9780912469102; 0912469102; 9780912469119; 0912469110,Majority Press,1984
e185bf,e100,E185BF,E100,Black foremothers : three lives ,Dorothy Sterling ; foreword  Margaret Walker ; introduction  Barbara Christian,9780935312898; 0935312897,Feminist P,1988
e185tlc,e100,E185TLC,E100,The last crusade : Martin Luther King Jr; the FBI and the Poor People's Campaign ,Gerald D McKnight,0813333849; 9780813333847,Westview Press,1998
e276rm,e200,E276RM,E200,Revolutiory mothers : women in the struggle for America's independence ,Carol Berkin,9781400041633; 1400041635; 9781400075324; 1400075327,Distributed by Random House; Knopf,2005
e183sot,e100,E183SOT,E100,Sword of the spirit; shield of faith : religion in American war and diplomacy ,Andrew Preston,140007858X; 9781400078585,Anchor Books,2012
e169tao,e100,E169TAO,E100,The age of American unreason ,Susan Jaco,9781400096381; 1400096383,Vintage Books,2009
e184tiw,e100,E184TIW,E100,The Irish way : becoming American in the multiethnic city ,James R Barrett,1594203253; 9781594203251,Penguin Press,2012
e185wdb,e100,E185WDB,E100,W.E.B. Du Bois : Black radical democrat ,Manning Marable,9781594510182; 1594510180; 9781594510199; 1594510199,Paradigm Publishers,2005
e185tot,e100,E185TOT,E100,Time on two crosses : the collected writings of Bayard Rustin ,edited  Devon W Carbado and Donald Weise,9781573441742; 1573441740,Cleis,2003
e184lj,e100,E184LJ,E100,Lipstick Jihad : a memoir of growing up Iranian in America and American in Iran ,Azadeh Moaveni,1586483781; 9781586483784,PublicAffairs,2006
e185fal,e100,E185FAL,E100,Free at last : a documentary history of slavery; freedom and the civil war ,[edited ] Ira Berlin [and others],9781565841208; 1565841204,New P,1992
e169acp,e100,E169ACP,E100,American cultural patterns : a cross-cultural perspective ,Edward C Stewart and Milton J Bennett,9781877864018; 1877864013,Intercultural Press,1991
e185tha,e100,E185THA,E100,Too heavy a load : Black women in defense of themselves; 1894-1994 ,Deborah Gray White,9780393319927; 039331992X,WWNorton,1999
e185bdc,e100,E185BDC,E100,Better day coming : blacks and equality; 1890-2000 ,Adam Fairclough,9780142001295; 0142001295; 9780670875924; 0670875929,Penguin,2002
e185tbp,e100,E185TBP,E100,The Black Panther party (reconsidered) ,edited  Charles E  Jones,0933121962; 9780933121966; 0933121970; 9780933121973,Black Classic Press,1998
e185two,e100,E185TWO,E100,The warmth of other suns : the epic story of America's great migration ,Isabel Wilkerson,0679444327; 9780679444329; 0679763880; 9780679763888,Random House,2010
e169etc,e100,E169ETC,E100,Entertaining the citizen : when politics and popular culture converge ,Liesbet van Zoonen,9780742529069; 0742529061; 9780742529076; 074252907X,Rowman & Littlefield,2005
e169sae,e100,E169SAE,E100,Slanted and enchanted : the evolution of indie culture ,Kaya Oakes,0805088520; 9780805088526,Henry Holt and Co,2009
ja10a1,ja10,JA10A1,JA10,Argument-reprint; 1-17., T. D. (Thomas Dewar) Weldon,9783920037059; 3920037057,Argument,1974
ja10ieo,ja10,JA10IEO,JA10,International encyclopedia of political science., T. D. (Thomas Dewar) Weldon,1412959632; 9781412959636,SAGE,2011
ja10tpq,ja10,JA10TPQ,JA10,The Political Quarterly in the thirties , W. A. Robson,,Allen Lane,1971
ja100add,ja100,JA100ADD,JA100,A discipline divided : schools and sects in political science , Gabriel A. 1911-2002. (Gabriel Abraham) Almond,9780803933019; 0803933010; 9780803933026; 0803933029,Sage Publications,1990
ja100gfp,ja100,JA100GFP,JA100,Goals for political science.,undefined American Political Science Association. Committee for the Advancement of Teaching.,,Sloane,1951
ja100psi,ja100,JA100PSI,JA100,Political science in Western Europe : a trend report , J. Barents,,Stevens,1961
ja100eip,ja100,JA100EIP,JA100,Elements in political science , Frank. Bealey,9780748611973; 0748611975,Edinburgh UP,1999
ja100cep,ja100,JA100CEP,JA100,Comparative European politics : the story of a profession , Frank. Bealey,9781855673991; 1855673991,Pinter,1997
ja100tas,ja100,JA100TAS,JA100,The American science of politics : its origins and conditions , Bernard Crick,,Routledge,1959
ja100tps,ja100,JA100TPS,JA100,The political system : an inquiry into the state of political science., David Easton,,Knopf,1953
ja100tpr,ja100,JA100TPR,JA100,The political research experience : readings and analysis , Marcus E. Ethridge,9780873325189; 0873325184,MESharpe,1990
ja100pr,ja100,JA100PR,JA100,Political research : methods and practical skills , Sandra author. Halperin,0198702744; 9780198702740,Oxford University Press,2017
