CallNumber,Author,Title,ISBN,PubName,PubYear,CB
JA 000 HAY, Colin Hay,Political analysis ,9780333750025; 0333750020; 9780333750032; 0333750039,Palgrave,2002,no
JA 000 HUT, Kimberly Hutchings,Time and world politics : thinking the present ,0719073022; 9780719073021,Manchester University Press,2008,no
JA 000 Han, Kimberly Hutchings,Handbook of political science ,9780201026016; 0201026015,Addison-Wesley,1975,no
JA 000 Hey, Andrew. Heywood,Politics ,9780333986295; 0333986296; 9780333971314; 0333971310,Palgrave,2002,no
JA 000 Int, Andrew. Heywood,Interpreting politics ,9780631157779; 0631157778,Blackwell,1987,no
JA 000 JOA, C. E. M. 1891-1953. (Cyril Edwin Mitchinson) Joad,Guide to the philosophy of morals and politics ,,V Gollancz,1938,no
JA 000 Joh, Nevil. Johnson,The limits of political science ,9780198273417; 019827341X,Clarendon P,1989,no
JA 000 Joh, Larry Johnston,Politics : an introduction to the modern democratic state ,9781551113692; 1551113694,Broadview Press,2001,no
JA 000 Jou, Bertrand de Jouvenel,The Pure Theory of Politics ,,CUP,1963,no
JA 000 KUZ, Adrian Kuzminski,Fixing the system : a history of populism; ancient and modern ,0826429599; 9780826429599; 0826429602; 9780826429605,Continuum,2008,no
JA 000 Kap, Morton A. Kaplan,On freedom and human dignity : the importance of the sacred in politics ,,General Learning P,1973,no
JA 000 LAN, Todd. Landman,Issues and methods in comparative politics : an introduction ,9780415272698; 0415272696; 9780415272704; 041527270X,Routledge,2003,no
JA 000 LAP, J. A. Laponce,Left and right : the topography of political perceptions ,9780802055330; 0802055338,University of Toronto Press,1981,no
JA 000 LIP, Seymour Martin. Lipset,Politics and the social sciences ,,Oxford University Press,1969,no
JA 000 Las, Harold J. 1893-1950. (Harold Joseph) Laski,A grammar of politics ,,Allen & Unwin,1938,no
JA 000 Las, Harold J. 1893-1950. (Harold Joseph) Laski,An introduction to politics ,,Allen & Unwin,1951,no
JA 000 Las, Harold J. 1893-1950. (Harold Joseph) Laski,The danger of being a gentleman; and other essays ,,Allen and Unwin,1939,no
JA 000 Las, Harold D. 1902-1978. (Harold Dwight) Lasswell,Language of politics : studies in quantitative semantics ,,MIT Press,1965,no
JA 000 Law, Kay. Lawson,The human polity : a comparative introduction to political science ,9780618043644; 0618043640,Houghton Mifflin Co,2003,no
JA 000 Lip, L. Lipson,What is political science ,,Victoria University College,1939,no
JA 000 MAB, J. D. (John David) Mabbott,The state and the citizen : an introduction to political philosophy;,,Hutchinson,1967,no
JA 000 MCP, Thomas. McPherson,Political obligation.,9780710051226; 0710051220; 9780710051219; 0710051212,Routledge & Kegan Paul,1967,no
JA 000 MOU, Ferdinand Mount,The theatre of politics.,029799518X; 0297995189; 9780297995180,Weidenfeld and Nicolson,1972,no
JA 000 Mer, Peter H. (Peter Hans) Merkl,Modern comparative politics ,,Holt Rinehart & Winston,1970,no
JA 000 Mey, Jean Meynaud,Introduction a la science politique ,,Colin,1961,no
JA 000 Mil, J. D. B. 1922- (John Donald Bruce) Miller,The nature of politics ,,Duckworth,1962,no
JA 000 Mil, A. J. M. 1922- (Alan John Mitchell) Milne,Politics and controversy ,,U of Durham,1977,no
